# meep=1.28.0 res=30.0 cols=t,Ez1,Ez2 dt=4.004 c_err=0.0011 echo=0.0000
1.280000000000000071e+01,-2.544587007221627006e-01,-3.017656228272804636e-02
1.285000000000000142e+01,-2.049597876298814292e-01,-2.710273770199022811e-02
1.290000000000000036e+01,-1.487688620935148087e-01,-2.295708457238139488e-02
1.295000000000000107e+01,-8.723783743092840270e-02,-1.776431260551264435e-02
1.300000000000000000e+01,-2.190017711093561817e-02,-1.158376494217151775e-02
1.305000000000000071e+01,4.556757492746813659e-02,-4.509327132215735362e-03
1.310000000000000142e+01,1.133913675736175075e-01,3.329260700297739187e-03
1.315000000000000036e+01,1.797471347519227214e-01,1.176830633096465073e-02
1.320000000000000107e+01,2.428127107796512751e-01,2.061161261340151152e-02
1.325000000000000000e+01,3.008189047637169766e-01,2.963411431529759318e-02
1.330000000000000071e+01,3.521018906257217806e-01,3.858641399938716327e-02
1.335000000000000142e+01,3.951517564120208270e-01,4.720002569241635304e-02
1.340000000000000036e+01,4.286591984054216597e-01,5.519477944779527245e-02
1.345000000000000107e+01,4.515555142921960918e-01,6.228546257324459740e-02
1.350000000000000000e+01,4.630478924992819101e-01,6.819132934941705970e-02
1.355000000000000071e+01,4.626456563188706683e-01,7.264377844255763550e-02
1.360000000000000142e+01,4.501796352117566347e-01,7.539677275079725849e-02
1.365000000000000036e+01,4.258109864119323795e-01,7.623496814087832307e-02
1.370000000000000107e+01,3.900319359359860627e-01,7.498360112681659584e-02
1.375000000000000000e+01,3.436555321011911523e-01,7.151623044793067874e-02
1.380000000000000071e+01,2.877972383841232440e-01,6.576261882445838536e-02
1.385000000000000142e+01,2.238462649851776787e-01,5.771503535359713555e-02
1.390000000000000036e+01,1.534298137845383492e-01,4.743283571534098741e-02
1.395000000000000107e+01,7.836890355325946966e-02,3.504617971829560030e-02
1.400000000000000000e+01,6.292160647678839147e-04,2.075636894153561063e-02
1.405000000000000071e+01,-7.773371247651000848e-02,4.835924357838436091e-03
1.410000000000000142e+01,-1.546313934050057015e-01,-1.237577816611635205e-02
1.415000000000000036e+01,-2.280015668462994083e-01,-3.047681857383386511e-02
1.420000000000000107e+01,-2.958661717223725063e-01,-4.901170649067412843e-02
1.425000000000000000e+01,-3.563880053765555722e-01,-6.748031991097240556e-02
1.430000000000000071e+01,-4.079228665916591612e-01,-8.535082917890607357e-02
1.435000000000000142e+01,-4.490670131903796158e-01,-1.020728502278105965e-01
1.440000000000000036e+01,-4.786972206526833862e-01,-1.170931339824763245e-01
1.445000000000000107e+01,-4.960034014570612326e-01,-1.298718186298219446e-01
1.450000000000000000e+01,-5.005117403027314893e-01,-1.398992672951387961e-01
1.455000000000000071e+01,-4.920985887871215381e-01,-1.467136667702466923e-01
1.460000000000000142e+01,-4.709938639828422646e-01,-1.499171067998537055e-01
1.465000000000000036e+01,-4.377745707366582639e-01,-1.491923152436511191e-01
1.470000000000000107e+01,-3.933480303658747346e-01,-1.443159683682811167e-01
1.475000000000000000e+01,-3.389258294267767369e-01,-1.351721693143271841e-01
1.480000000000000071e+01,-2.759888799506569068e-01,-1.217610941321065898e-01
1.485000000000000142e+01,-2.062449396156248449e-01,-1.042069689028897184e-01
1.490000000000000036e+01,-1.315796874054594445e-01,-8.276050623510880500e-02
1.495000000000000107e+01,-5.400291058153180307e-02,-5.779962830157608228e-02
1.500000000000000000e+01,2.440856375944570195e-02,-2.982472405206587976e-02
1.505000000000000071e+01,1.015696078603468139e-01,5.488398303300796172e-04
1.510000000000000142e+01,1.754452393480485095e-01,3.260284723865904122e-02
1.515000000000000036e+01,2.441073662198877392e-01,6.553188108334805084e-02
1.520000000000000107e+01,3.057877578596870372e-01,9.846216237375764180e-02
1.525000000000000000e+01,3.589262162873457784e-01,1.304742023124551009e-01
1.530000000000000071e+01,4.022119737819102037e-01,1.606267751352215833e-01
1.535000000000000142e+01,4.346178513412798372e-01,1.879843695345724264e-01
1.540000000000000036e+01,4.554254721474536582e-01,2.116439089213158486e-01
1.545000000000000107e+01,4.642417525547147816e-01,2.307639517648509275e-01
1.550000000000000000e+01,4.610053425117078829e-01,2.445911756655064218e-01
1.555000000000000071e+01,4.459839873284463518e-01,2.524877640867803086e-01
1.560000000000000142e+01,4.197618988745535074e-01,2.539543893258283669e-01
1.565000000000000036e+01,3.832188452597549144e-01,2.486521413841359940e-01
1.570000000000000107e+01,3.375004279424093090e-01,2.364188537068170060e-01
1.575000000000000000e+01,2.839819092246423926e-01,2.172823219941572015e-01
1.580000000000000071e+01,2.242253380511939620e-01,1.914673448654959087e-01
1.585000000000000142e+01,1.599328485572544256e-01,1.593978300986272356e-01
1.590000000000000036e+01,9.289600540874175250e-02,1.216928428048886790e-01
1.595000000000000107e+01,2.494439942007460262e-02,7.915642612439216519e-02
1.600000000000000000e+01,-4.210668844537853589e-02,3.276217837883779044e-02
1.605000000000000071e+01,-1.065062208576699199e-01,-1.636891082411593215e-02
1.610000000000000142e+01,-1.666153600181023153e-01,-6.699442962193784268e-02
1.615000000000000213e+01,-2.209501713122342947e-01,-1.177828495629635042e-01
1.619999999999999929e+01,-2.682199079753284643e-01,-1.673477104360368561e-01
1.625000000000000000e+01,-3.073578197669921130e-01,-2.142868113932822061e-01
1.630000000000000071e+01,-3.375458534204757166e-01,-2.572210609365699896e-01
1.635000000000000142e+01,-3.582305130926036751e-01,-2.948362057921626311e-01
1.640000000000000213e+01,-3.691318530522222363e-01,-3.259219370607863153e-01
1.644999999999999929e+01,-3.702432430407580077e-01,-3.494112033544398144e-01
1.650000000000000000e+01,-3.618244904985810084e-01,-3.644148100757059749e-01
1.655000000000000071e+01,-3.443863158130593405e-01,-3.702533514264854109e-01
1.660000000000000142e+01,-3.186693232858485714e-01,-3.664827747379924561e-01
1.665000000000000213e+01,-2.856157454533093665e-01,-3.529145853682612022e-01
1.669999999999999929e+01,-2.463375569176251556e-01,-3.296286811655082527e-01
1.675000000000000000e+01,-2.020793976272419745e-01,-2.969786923147618163e-01
1.680000000000000071e+01,-1.541802141069048004e-01,-2.555897514631805256e-01
1.685000000000000142e+01,-1.040320746951958475e-01,-2.063475035346331865e-01
1.690000000000000213e+01,-5.304022177728084930e-02,-1.503802193267634035e-01
1.694999999999999929e+01,-2.582680385281511948e-03,-8.903195634594679442e-02
1.700000000000000000e+01,4.602651356718678866e-02,-2.383034154720873807e-02
1.705000000000000071e+01,9.157242211696034473e-02,4.355365304453148040e-02
1.710000000000000142e+01,1.329687194860171284e-01,1.113490815484579344e-01
1.715000000000000213e+01,1.692839533486318326e-01,1.777344035819083401e-01
1.719999999999999929e+01,1.997608479424249350e-01,2.408872929795530249e-01
1.725000000000000000e+01,2.238314417502567932e-01,2.990376291555646437e-01
1.730000000000000071e+01,2.411246299682331673e-01,3.505180138862488137e-01
1.735000000000000142e+01,2.514693732255048331e-01,3.938141609697864975e-01
1.740000000000000213e+01,2.548904187536510935e-01,4.276100607421491340e-01
1.744999999999999929e+01,2.516002339773565910e-01,4.508296365765580571e-01
1.750000000000000000e+01,2.419842308232474926e-01,4.626709200504077191e-01
1.755000000000000071e+01,2.265833478573864856e-01,4.626336953079520642e-01
1.760000000000000142e+01,2.060712217888121534e-01,4.505381992228474353e-01
1.765000000000000213e+01,1.812302815808892464e-01,4.265350155653875319e-01
1.769999999999999929e+01,1.529240492097182214e-01,3.911055705664819304e-01
